username,repo_name,stars,repo_url
bitcoin,bitcoin,75500,https://github.com/bitcoin/bitcoin
ccxt,ccxt,31200,https://github.com/ccxt/ccxt
freqtrade,freqtrade,25400,https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,22500,https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,18200,https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,12000,https://github.com/solana-labs/solana
bbfamily,abu,11200,https://github.com/bbfamily/abu
askmike,gekko,10000,https://github.com/askmike/gekko
dvf,blockchain,7700,https://github.com/dvf/blockchain
lightningnetwork,lnd,7500,https://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
spesmilo,electrum,7100,https://github.com/spesmilo/electrum
yeasy,blockchain_guide,6700,https://github.com/yeasy/blockchain_guide
getumbrel,umbrel,6100,https://github.com/getumbrel/umbrel
btcsuite,btcd,6100,https://github.com/btcsuite/btcd
btcpayserver,btcpayserver,6000,https://github.com/btcpayserver/btcpayserver
butor,blackbird,5900,https://github.com/butor/blackbird
UFund-Me,Qbot,5700,https://github.com/UFund-Me/Qbot
bitcoinjs,bitcoinjs-lib,5500,https://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,5200,https://github.com/jesse-ai/jesse
